,발화문,상황,1번 감정,1번 감정세기,2번 감정,2번 감정세기,3번 감정,3번 감정세기,4번 감정,4번감정세기,5번 감정,5번 감정세기,나이,성별
0,헐! 나 이벤트에 당첨 됐어.,happiness,angry,2,surprise,2,happiness,2,happiness,2,happiness,2,48,female
1,내가 좋아하는 인플루언서가 이벤트를 하더라고. 그래서 그냥 신청 한번 해봤지.,happiness,neutral,0,happiness,2,happiness,2,happiness,2,happiness,2,48,female
2,"한 명 뽑는 거였는데, 그게 바로 내가 된 거야.",happiness,angry,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
3,"당연히 마음에 드는 선물이니깐, 이벤트에 내가 신청 한번 해본 거지. 비싼 거야. 그래서 못 산 향수야.",happiness,angry,2,happiness,2,happiness,2,happiness,2,happiness,1,48,female
4,에피타이저 정말 좋아해. 그 것도 괜찮은 생각인 것 같애.,neutral,happiness,2,happiness,1,happiness,2,happiness,1,happiness,1,48,female
5,난 부페 형식의 음식들도 정말 좋아해. 그 것도 좀 알려 줘.,neutral,neutral,0,happiness,2,happiness,1,happiness,1,neutral,0,48,female
6,응. 완전히 끝난 거야. 한 달 동안 주말에 쉬지도 못하고 일만 했거든.,happiness,happiness,2,happiness,1,sadness,1,sadness,1,sadness,1,48,female
7,"신나는 음악 듣는 것도 좋고, 어디 여행 가고 싶고 이 것 저 것 다 해보고 싶어.",happiness,neutral,0,happiness,2,happiness,2,happiness,1,sadness,1,48,female
8,친구들도 내 연락 기다리고 있을 텐데 내가 까먹고 있었네?,happiness,neutral,0,happiness,1,sadness,1,sadness,1,neutral,0,48,female
9,그래. 일단은 친구들부터 만나서 여행 계획에 대해서 얘기 좀 해봐야 되겠어.,happiness,neutral,0,happiness,1,neutral,0,neutral,0,neutral,0,48,female
10,나 요즘 너무 우울해 죽겠어.,sadness,sadness,2,sadness,2,sadness,2,sadness,1,sadness,2,48,female
11,맞아. 사람은 나가서 활동을 해야 된다고.,sadness,neutral,0,sadness,1,sadness,2,sadness,1,sadness,2,48,female
12,좀 활기 있는 영화로 좀 부탁할게.,sadness,neutral,0,sadness,1,sadness,1,sadness,1,sadness,1,48,female
13,내가 좋아하는 유튜버가 좋은 제품이라고 하길래 나도 샀지. 그런데 그게 돈 받고 하는 광고였대잖아.,angry,disgust,2,angry,2,angry,1,angry,1,angry,1,48,female
14,그래서 사람들이 증거 사진을 올렸더니 그 때서야 광고였다고 미안하다고 하는 거야.,angry,disgust,2,angry,2,angry,1,angry,1,angry,1,48,female
15,처음부터 자기 잘못을 알고 미안하다고 했으면 화가 이렇게 나진 않았을 거야. 사람들이 증거를 올리니까 그 때서야 사과하는 게 진정성이 느껴지지가 않아.,angry,disgust,2,angry,2,angry,2,angry,1,angry,1,48,female
16,아니. 이제부터 자랑 한번 해봐야지.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,1,48,female
17,내 휴가가 엉망진창이 돼버렸어.,angry,disgust,2,sadness,2,sadness,2,sadness,1,sadness,2,48,female
18,휴가 시작함과 동시에 장마도 같이 시작해버렸어. 그래서 하루 종일 비가 와.,angry,disgust,2,sadness,2,sadness,2,sadness,1,sadness,2,48,female
19,여름 휴가는 뭐니뭐니 해도 여름 바다야. 그런데 지금 이렇게 비가 많이 오니 바다를 갈 수가 없어.,angry,disgust,2,angry,2,sadness,2,sadness,1,sadness,2,48,female
20,그 동안 바빠서 한 번을 휴가를 못 갔어. 한 1년만인 거 같애.,angry,sadness,2,angry,2,sadness,1,sadness,1,sadness,1,48,female
21,집에서 즐길 수 있는 영화나 게임 그런 것 좀 소개 좀 해줘.,angry,neutral,0,sadness,1,sadness,1,sadness,1,sadness,1,48,female
22,아니. 아까 해피 산책 시키다가 나 정말 깜짝 놀랐어.,surprise,surprise,2,surprise,2,surprise,2,disgust,1,surprise,2,48,female
23,"해피랑 산책하다 걷고 있는데 갑자기 목줄이 끊어진 거야. 얼마나 놀랬는지, 지금도 심장이 다 떨려.",surprise,surprise,2,surprise,2,surprise,2,disgust,1,surprise,2,48,female
24,다행히 지나가던 분이 잡아주셨어. 얼마나 고마운지 몰라.,surprise,neutral,0,surprise,2,sadness,1,neutral,0,neutral,0,48,female
25,주변 분들도 다 나를 이해해주시드라고. 오히려 내가 위로 받고 왔어.,surprise,sadness,2,happiness,1,sadness,1,neutral,0,neutral,0,48,female
26,지금은 많이 진정되었어. 다음부턴 조심해야 되겠어.,surprise,neutral,0,fear,1,sadness,1,neutral,0,neutral,0,48,female
27,나 축하해줘. 기분 좋은 일이 생겼어.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
28,나 이번에 10km 마라토너로 뛰었거든. 그런데 내 기록보다 훨씬 좋은 기록이 나온 거야.,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,48,female
29,"아니. 선수처럼 그렇게 기록이 좋진 않지만, 그 동안의 내가 노력한 결과에, 결과를 얻은 것 같애서 좋다는 거야.",happiness,happiness,2,happiness,2,happiness,2,happiness,1,happiness,1,48,female
30,대단히 많은 크룬 아니고.,happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,1,48,female
31,당연히 같이 서로 의지하면서 운동하는 사람들 있어. 그 사람들 덕분에 여기까지 온 것 같애.,happiness,happiness,2,happiness,2,happiness,2,happiness,1,happiness,1,48,female
32,나 요즘 주식 시작했는데 너무 후회가 돼.,sadness,sadness,2,sadness,2,sadness,2,sadness,1,sadness,2,48,female
33,아는 지인이 갑자기 연락 왔더라고. 좋은 주식 있으니까 같이 해보자고. 그래서 시작한 거야.,sadness,sadness,2,sadness,2,sadness,1,sadness,1,sadness,1,48,female
34,"맞아. 주식은 정말 쉬운 종, 쉬운 게 아니야. 요즘 뜨고 있는 바이오 주식을 샀는데도 이래.",sadness,neutral,0,sadness,1,sadness,1,sadness,1,sadness,2,48,female
35,처음 산 것 보다 훨씬 많이 떨어져 있어.,sadness,neutral,0,sadness,1,sadness,2,sadness,1,sadness,2,48,female
36,어차피 팔지도 못해. 지금 팔면 반토막밖에 안 남아.,sadness,sadness,2,sadness,1,sadness,2,sadness,1,sadness,2,48,female
37,나 어제 자다가 정말 깜짝 놀랬어.,surprise,surprise,2,surprise,2,surprise,2,disgust,1,surprise,2,48,female
38,"잠결에 들어서 그런가 정말 폭탄이 폭발하는 소리가, 들리드라고. 얼마나 놀랬겠어.",surprise,surprise,2,surprise,2,surprise,2,disgust,1,surprise,2,48,female
39,실제로는 폭탄이 터지는 게 아니라 그냥 천둥 소리였어. 그 소리가 그렇게 크게 들리더라고.,surprise,surprise,2,surprise,2,sadness,1,neutral,0,surprise,1,48,female
